indicator_code,indicator_name,unit_canonical
Y477110074,Жилищный фонд: Сельский жилищный фонд,"Общая площадь жилых помещений, миллионов квадратных метров"
Y477110073,Жилищный фонд: Городской жилищный фонд,"Общая площадь жилых помещений, миллионов квадратных метров"
Y477110072,Жилищный фонд: Всего,"Общая площадь жилых помещений, миллионов квадратных метров"
Y477110060,Граница бедности,Руб
Y477110032,"Величина прожиточного минимума, установленная в целом по Российской Федерации и в субъектах Российской Федерации в IV квартале","На душу населения, рублей в месяц"
Y477110031,Величина прожиточного минимума пенсионера в целях установления социальной доплаты к пенсии,Руб/мес
Y477110127,Индексы тарифов на грузовые перевозки,"Декабрь к декабрю предыдущего года, в процентах"
Y477110030,Величина прожиточного минимума,"На год, на душу населения, рублей в месяц"
Y477170012,Среднегодовая численность занятых,Тыс чел
Y477110093,"Задолженность по кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам: Всего","Исходя из местонахождения заемщиков, на начало года, миллионов рублей"
Y477170003,Количество фактически отработанного времени за год на всех видах работ по производству товаров и услуг,Млн. человеко-часов
Y477110478,Численность рабочей силы,"По данным выборочных обследований рабочей силы, тысяч человек"
Y477110464,"Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы",Тыс чел
Y477110460,Численность муниципальных служащих органов местного самоуправления: Всего,Тыс чел
Y477110459,Численность муниципальных служащих органов местного самоуправления: В представительных органах,Тыс чел
Y477120001,Валовой сбор бобов соевых (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477120002,Валовой сбор винограда,"В хозяйствах всех категорий, тысяч тонн"
Y477120003,Валовой сбор зерна (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477120004,Валовой сбор картофеля,"В хозяйствах всех категорий, тысяч тонн"
Y477120005,Валовой сбор льноволокна,"В хозяйствах всех категорий, тысяч тонн"
Y477120006,Валовой сбор овощей,"В хозяйствах всех категорий, тысяч тонн"
Y477120007,Валовой сбор плодов и ягод,"В хозяйствах всех категорий, тысяч тонн"
Y477120008,Валовой сбор пшеницы (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477120009,Валовой сбор сахарной свеклы,"В хозяйствах всех категорий, тысяч тонн"
Y477120010,Валовой сбор семян подсолнечника (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477120011,Валовой сбор семян рапса (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477120012,Валовой сбор сена многолетних трав,"В хозяйствах всех категорий, тысяч тонн"
Y477120013,Валовой сбор сена однолетних трав,"В хозяйствах всех категорий, тысяч тонн"
Y477120014,Внесение минеральных удобрений на один гектар посева сельскохозяйственных культур в сельскохозяйственных организациях,ND
Y477110114,Индексы потребительских цен на продовольственные товары,"Декабрь к декабрю предыдущего года, в процентах"
Y477120015,Использование свежей воды на орошение и сельскохозяйственное водоснабжение,Миллионов кубических метров
Y477120018,Площадь виноградных насаждений,"В хозяйствах всех категорий, тысяч гектаров"
Y477120019,Площадь плодово-ягодных насаждений,"В хозяйствах всех категорий, тысяч гектаров"
Y477120020,Поголовье коров,"На конец года, в хозяйствах всех категорий, тысяч голов"
Y477120021,Поголовье крупного рогатого скота,"На конец года, в хозяйствах всех категорий, тысяч голов"
Y477120022,Поголовье овец и коз,"На конец года, в хозяйствах всех категорий, тысяч голов"
Y477120023,Поголовье свиней,"На конец года, в хозяйствах всех категорий, тысяч голов"
Y477120024,Поголовье северных оленей,"На конец года, в хозяйствах всех категорий, тысяч голов"
Y477120025,Посевные площади всех сельскохозяйственных культур,"В хозяйствах всех категорий, тысяч гектаров"
Y477120026,Посевные площади картофеля,"В хозяйствах всех категорий, тысяч гектаров"
Y477120027,Посевные площади кормовых культур,"В хозяйствах всех категорий, тысяч гектаров"
Y477120028,Посевные площади овощей открытого грунта,"В хозяйствах всех категорий, тысяч гектаров"
Y477120030,Производство меда,"В хозяйствах всех категорий, тонн"
Y477120031,Производство молока,"В хозяйствах всех категорий, тысяч тонн"
Y477120032,Производство скота и птицы на убой,"В хозяйствах всех категорий, в убойном весе, тысяч тонн"
Y477120033,Производство шерсти,"В хозяйствах всех категорий, в физическом весе, тонн"
Y477120034,Производство яиц,"В хозяйствах всех категорий, миллионов штук"
Y477110113,Индексы потребительских цен на непродовольственные товары,"Декабрь к декабрю предыдущего года, в процентах"
Y477120041,Урожайность зерновых и зернобобовых культур (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120042,Урожайность картофеля,"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120043,Урожайность льна — долгунца,"В хозяйствах всех категорий, центнеров льноволокна с одного гектара убранной площади"
Y477120044,Урожайность овощей,"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120045,Урожайность подсолнечника (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120046,Урожайность пшеницы озимой (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убраной площади"
Y477120047,Урожайность пшеницы яровой (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убраной площади"
Y477120048,Урожайность рапса (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120049,Урожайность сахарной свеклы,"В хозяйствах всех категорий, центнеров с одного гектара убраной площади"
Y477120050,Урожайность сои (в весе после доработки),"В хозяйствах всех категорий, центнеров с одного гектара убранной площади"
Y477120051,Энергетические мощности в сельскохозяйственных организациях,"В расчете на 1 работника, л. с"
Y477110029,Ввод в действие основных фондов,Млн руб
Y477110390,Степень износа основных фондов,"На конец года, в процентах"
Y477110391,Стоимость основных фондов,"На конец года, по полной учетной стоимости, миллионов рублей"
Y477110411,Удельный вес полностью изношенных основных фондов в их общем объеме,"На конец года, по полной учетной стоимости, в процентах"
Y477110458,Численность муниципальных служащих органов местного самоуправления: В местных администрациях (исполнительно-распорядительных органах муниципальных образований),Тыс чел
Y477040049,Численность среднего медицинского персонала на 10000 человек населения,Тыс чел
Y477110449,Численность зарегистрированных безработных,Тыс чел
Y477040048,Численность среднего медицинского персонала,Тыс чел
Y477040040,Численность врачей на 10000 человек населения,Тыс чел
Y477040001,Ввод в действие мощностей амбулаторно-поликлинических организаций,Посещений в смену
Y477040002,Ввод в действие мощностей амбулаторно-поликлинических организаций в сельской местности,Посещений в смену
Y477040003,Ввод в действие мощностей больничных организаций,Коек
Y477040004,Ввод в действие мощностей больничных организаций в сельской местности,Коек
Y477040005,"Выплаты по договорам страхования, осуществленные страховыми организациями, по добровольному медицинскому страхованию",Млн руб
Y477110112,Индексы потребительских цен (тарифов) на услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477040013,"Инвестиции в основной капитал, направленные на развитие здравоохранения","Фактически действовавших ценах, миллионов рублей"
Y477040032,Расходы консолидированных бюджетов субъектов Российской Федерации на здравоохранение,Млн руб
Y477110111,Индексы потребительских цен,"Декабрь к декабрю предыдущего года, в процентах"
Y477150037,Среднегодовая численность населения,Тыс чел
Y477040039,Численность врачей всех специальностей,Тыс чел
Y477120016,"Коэффициент обновления по полной учетной стоимости, в смешанных ценах по виду деятельности растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Ввод в действие основных фондов в процентах от наличия основных фондов на конец года
Y477120017,"Наличие основных фондов по виду деятельности растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Млн руб
Y477120036,"Степень износа основных фондов по виду деятельности растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",В процентах
Y477040035,Среднесписочная численность работников в организациях здравоохранения,Тыс чел
Y477120039,"Удельный вес прибыльных организаций по виду деятельности растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",В процентах
Y477120040,"Удельный вес убыточных организаций по виду деятельности растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",В процентах
Y477040034,Среднемесячная номинальная начисленная заработная плата работников в организациях здравоохранения,Руб
Y477110446,Численность государственных гражданских служащих территориальных органов федеральных органов исполнительной власти,Тыс чел
Y477110445,Численность государственных гражданских (муниципальных) служащих органов исполнительной власти субъектов российскойфедерации и органов местного самоуправления,Тыс чел
Y477080078,Удельный вес расходов на оплату жилищно-коммунальных услуг в потребительских расходах домашних хозяйств,"По данным выборочного обследования бюджетов домашних хозяйств, в процентах от общей суммы потребительских расходов"
Y477080039,Объем жилищных услуг населению,Млн руб
Y477110380,Средние цены на первичном рынке жилья,"На конец года, рублей за квадратный метр общей площади"
Y477080020,Индексы физического объема жилищных услуг населению,В процентах к предыдущему году
Y477080002,Индексы потребительских тарифов на жилищные услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477110392,Стоимость условного (минимального) набора продуктов питания: Изменение стоимости минимального набора,"На конец года, к декабрю предыдущего года, в процентах"
Y477110393,Стоимость условного (минимального) набора продуктов питания: Стоимость минимального набора,Руб
Y477110443,Численность государственных гражданских (муниципальных) служащих государственных органов и органов местного самоуправления,Тыс чел
Y477110438,Численность безработных,"По данным выборочных обследований рабочей силы, тысяч человек"
Y477090001,"Индексы производства по виду экономической деятельности водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",В процентах к предыдущему году
Y477090002,Индексы производства по виду экономической деятельности добыча полезных ископаемых,В процентах к предыдущему году
Y477090003,"Индексы производства по виду экономической деятельности обеспечение электрической энергией, газом и паром, кондиционирование воздуха",В процентах к предыдущему году
Y477110423,Уровень участия в составе рабочей силы,"По данным выборочных обследований рабочей силы, в процентах"
Y477090004,Индексы производства по виду экономической деятельности обрабатывающие производства,В процентах к предыдущему году
Y477090005,Индексы промышленного производства,В процентах к предыдущему году
Y477090015,Производство электроэнергии,Миллиард киловатт-часов
Y477040042,"Численность занимавшихся в физкультурно-оздоровительных клубах, секциях и группах",Тыс чел
Y477040060,Число организаций отдыха,ND
Y477110422,Уровень занятости населения в трудоспособном возрасте,"По данным выборочных обследований рабочей силы, в процентах"
Y477110421,Уровень занятости населения,"По данным выборочных обследований рабочей силы, в процентах"
Y477110420,Уровень безработицы: Уровень зарегистрированной безработицы,"На конец года, в процентах"
Y477110419,Уровень безработицы: Уровень безработицы в трудоспособном возрасте,"По данным выборочных обследований рабочей силы, в процентах"
Y477130016,"Общая площадь жилых помещений, приходящаяся в среднем на одного жителя","На конец года, квадратных метров"
Y477080007,Индексы потребительских цен (тарифов) на услуги,"Декабрь к декабрю предыдущего года, в процентах"
Y477110418,Уровень безработицы: Уровень безработицы,"По данным выборочных обследований рабочей силы, в процентах"
Y477080029,Индексы физического объема платных услуг населению,В процентах к предыдущему году
Y477080048,Объем платных услуг населению,Млн руб
Y477150007,Индексы потребительских цен на товары,"Декабрь к декабрю предыдущего года, в процентах"
Y477150019,Оборот розничной торговли организаций потребительской кооперации,"В фактически действовавших ценах, миллионов рублей; для значений в целом по России: млрд руб"
Y477150038,"Среднемесячная номинальная начисленная заработная плата работников организаций, занятых общественным питанием",Руб
Y477150039,"Среднемесячная номинальная начисленная заработная плата работников организаций, осуществляющих розничную торговлю, кроме торговли автотранспортными средствами и мотоциклами",Руб
Y477150041,"Удельный вес розничных торговых сетей в формировании оборота розничной торговли пищевыми продуктами, включая напитки, и табачными изделиями","В фактически действовавших ценах, в процентах"
Y477170005,"Нагрузка незанятого населения, зарегистрированного в органах службы занятости населения, на одну заявленную вакансию","По данным Роструда, человек"
Y477110372,Среднегодовая численность занятых,Тыс чел
Y477170009,"Потребность работодателей в работниках, заявленная в органы службы занятости населения","По данным Роструда, тысяч человек"
Y477110394,Стоимость фиксированного набора потребительских товаров и услуг: Изменение стоимости фиксированного набора,"На конец года, к декабрю предыдущего года, в процентах"
Y477170036,Уровень зарегистрированной безработицы,"По данным Роструда, в процентах"
Y477110493,Число действующих филиалов кредитных организаций в субъекте,На начало года
Y477170042,"Численность безработных, зарегистрированных в органах службы занятости населения","По данным Роструда, тысяч человек"
Y477170047,"Численность зарегистрированных безработных, которым назначено пособие по безработице","По данным Роструда, тысяч человек"
Y477170050,"Численность не занятых трудовой деятельностью граждан, обратившихся за содействием в поиске подходящей работы в органы службы занятости населения","По данным Роструда, тысяч человек"
Y477150020,Продажа автобусов,Штук
Y477150021,Продажа автомобилей легковых (новых),Штук
Y477150022,Продажа бензина автомобильного,Тысяч тонн
Y477150023,Продажа газа горючего природного и попутного,Миллионов кубических метров
Y477150024,Продажа грузовых автомобилей (включая шасси),Штук
Y477150025,"Продажа лесоматериалов, продольно распиленных или расколотых, разделанных на слои или лущеных, толщиной более 6 мм",Тысяч кубических метров
Y477110492,Число действующих кредитных организаций,На начало года
Y477150026,Продажа мазута,Тысяч тонн
Y477150027,Продажа машин кузнечно-прессовых,Штук
Y477150028,"Продажа портландцемента, цемента глиноземистого, цемента шлакового и аналогичных цементов",Тысяч тонн
Y477150029,Продажа проката готового,Тысяч тонн
Y477150030,Продажа станков металлорежущих,Штук
Y477150031,Продажа топлива дизельного,Тысяч тонн
Y477150032,Продажа угля и продуктов переработки угля,Тысяч тонн
Y477150033,"Продажа шин и покрышек пневматических для автобусов, троллейбусов и грузовых автомобилей",Тысяч штук
Y477110115,"Индексы производства по виду экономической деятельности водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений в соответствии с ОКВЭД2",В процентах к предыдущему году
Y477110116,Индексы производства по виду экономической деятельности добыча полезных ископаемых: В соответствии с ОКВЭД,В процентах к предыдущему году
Y477110117,Индексы производства по виду экономической деятельности добыча полезных ископаемых: В соответствии с ОКВЭД2,В процентах к предыдущему году
Y477110118,"Индексы производства по виду экономической деятельности обеспечение электрической энергией, газом и паром, кондиционирование воздуха в соответствии с ОКВЭД2",В процентах к предыдущему году
Y477110119,Индексы производства по виду экономической деятельности обрабатывающие производства: В соответствии с ОКВЭД,В процентах к предыдущему году
Y477110120,Индексы производства по виду экономической деятельности обрабатывающие производства: В соответствии с ОКВЭД2,В процентах к предыдущему году
Y477110121,"Индексы производства по виду экономической деятельности производство и распределение электроэнергии, газа и воды в соответствии с ОКВЭД",В процентах к предыдущему году
Y477110125,Индексы промышленного производства: В соответствии с ОКВЭД,В процентах к предыдущему году
Y477110126,Индексы промышленного производства: В соответствии с ОКВЭД2,В процентах к предыдущему году
Y477110212,Мощность электростанций,Миллионов киловатт
Y477110240,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений в соответствии с ОКВЭД2",Млн руб
Y477110241,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых в соответствии с ОКВЭД",Млн руб
Y477110242,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых в соответствии с ОКВЭД2",Млн руб
Y477110243,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обеспечение электрической энергией, газом и паром, кондиционирование воздуха в соответствии с ОКВЭД2",Млн руб
Y477110244,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства в соответствии с ОКВЭД",Млн руб
Y477110245,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства в соответствии с ОКВЭД2",Млн руб
Y477110246,"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды в соответствии с ОКВЭД",Млн руб
Y477110250,Объем промышленной продукции,"В соответствии с ОКОНХ, в фактически действовавших ценах, миллионов рублей"
Y477110348,Производство электроэнергии,Миллиардов киловатт-часов
Y477110321,"Потребность в работниках, заявленная работодателями в органы службы занятости населения",Тыс чел
Y477110215,"Нагрузка незанятого населения, состоящего на регистрационном учете в органах службы занятости населения, в расчете на одну заявленную вакансию",Тыс чел
Y477110106,Изменение среднегодовой численности занятых,В процентах к предыдущему году
Y477080055,Объем транспортных услуг населению,Млн руб
Y477080036,Индексы физического объема транспортных услуг населению,В процентах к предыдущему году
Y477080005,Индексы потребительских тарифов на услуги пассажирского транспорта,"Декабрь к декабрю предыдущего года, в процентах"
Y477110389,"Средства (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Физических лиц","Исходя из места привлечения средств, на начало года, миллионов рублей"
Y477110388,"Средства (вклады) юридических и физических лиц в рублях, привлеченные кредитными организациями: Всего","Исходя из места привлечения средств, на начало года, миллионов рублей"
Y477130060,Численность населения с денежными доходами ниже границы бедности / величины прожиточного минимума,В процентах от общей численности населения региона
Y477130043,Соотношение среднемесячной номинальной начисленной заработной платы работников организаций с величиной прожиточного минимума трудоспособного населения,В процентах
Y477130042,Соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера,По состоянию на 1 января
Y477110395,Стоимость фиксированного набора потребительских товаров и услуг: Стоимость фиксированного набора,Руб
Y477050001,Ввод в действие автомобильных дорог с твердым покрытием,Километров
Y477050002,Ввод в действие водопроводных сетей,Километров
Y477050003,Ввод в действие газовых сетей,Километров
Y477050004,Ввод в действие жилых домов,Тысяч квадратных метров общей площади жилых помещений
Y477110387,"Средства (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Физических лиц","Исходя из места привлечения средств, на начало года, миллионов рублей"
Y477050006,Ввод в действие канализационных сетей,Километров
Y477050007,Ввод в действие мощностей амбулаторно-поликлинических организаций,Посещений в смену
Y477050008,Ввод в действие мощностей больничных организаций,Коек
Y477050009,Ввод в действие мощностей дошкольных образовательных организаций,Мест
Y477050010,Ввод в действие мощностей общеобразовательных организаций,Ученических мест
Y477110386,"Средства (вклады) юридических и физических лиц в иностранной валюте, привлеченные кредитными организациями: Всего","Исходя из места привлечения средств, на начало года, миллионов рублей"
Y477050013,Ввод в действие тепловых сетей,Километров
Y477040021,Мощность амбулаторно-поликлинических организаций,Тысяч посещений в смену
Y477040022,Мощность амбулаторно-поликлинических организаций на 10000 человек населения,Число посещений в смену
Y477040050,Число амбулаторно-поликлинических организаций,ND
Y477040051,Число больничных коек,Тысяч коек
Y477040052,Число больничных коек на 10000 человек населения,ND
Y477040057,Число больничных организаций,ND
Y477110385,Средства (вклады) физических лиц на рублевых счетах в ПАО Сбербанк,"На начало года, миллионов рублей"
Y477040062,Число санаториев-профилакториев,ND
Y477110007,Валовой сбор зерна (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн; для значений в целом по России: млн т"
Y477110008,Валовой сбор картофеля,"В хозяйствах всех категорий, тысяч тонн; для значений в целом по России: млн т"
Y477110009,Валовой сбор льноволокна,"В хозяйствах всех категорий, тысяч тонн"
Y477110010,Валовой сбор овощей,"В хозяйствах всех категорий, тысяч тонн; для значений в целом по России: млн т"
Y477110011,Валовой сбор плодов и ягод,"В хозяйствах всех категорий, тысяч тонн"
Y477110012,Валовой сбор сахарной свеклы,"В хозяйствах всех категорий, тысяч тонн; для значений в целом по России: млн т"
Y477110013,Валовой сбор семян подсолнечника (в весе после доработки),"В хозяйствах всех категорий, тысяч тонн"
Y477110033,Внесение удобрений на один гектар посева сельскохозяйственных культур в сельскохозяйственных организациях: Минеральные удобрения (в пересчете на 100% питательных веществ),Килограмм
Y477110034,Внесение удобрений на один гектар посева сельскохозяйственных культур в сельскохозяйственных организациях: Органические удобрения,Тонн
Y477110496,"Число лиц, погибших в дорожно-транспортных происшествиях на 100000 человек населения",Тыс чел
Y477110494,Число дорожно-транспортных происшествий на 100000 человек населения,ND
Y477110123,Индексы производства продукции сельского хозяйства: Продукция животноводства,"В хозяйствах всех категорий, в сопоставимых ценах, в процентах к предыдущему году"
Y477110489,Число автобусов общего пользования на 100000 человек населения,"На конец года, штук"
Y477110407,Удельный вес автомобильных дорог с усовершенствованным покрытием в протяженности автомобильных дорог с твердым покрытием общего пользования,В процентах
Y477110201,"Лесные пожары на землях лесного фонда и землях иных категорий: Площадь лесных земель, пройденная пожарами",Гектар
Y477110202,Лесные пожары на землях лесного фонда и землях иных категорий: Число лесных пожаров,ND
Y477110203,Лесные ресурсы: Лесистость территорий,"По данным учета на конец года, в процентах"
Y477110204,Лесные ресурсы: Общий запас древесины,"По данным учета на конец года, миллионов кубических метров"
Y477110205,"Лесные ресурсы: Площадь земель лесного фонда и земель иных категорий, на которых расположены леса","По данным учета на конец года, тысяч гектаров"
Y477110206,"Лесные ресурсы: Площадь, покрытая лесом","По данным учета на конец года, тысяч гектаров"
Y477110207,Лесовосстановление,Тысяч гектаров
Y477110216,Надой молока на одну корову в сельскохозяйственных организациях,Килограммов
Y477110262,Основные показатели по виду деятельности лесозаготовки: Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций,Млн руб
Y477110263,Основные показатели по виду деятельности лесозаготовки: Среднегодовая численность работников организаций,Тыс чел
Y477110384,Средства (вклады) физических лиц на валютных счетах в ПАО Сбербанк,"На начало года, миллионов рублей"
Y477110265,Основные показатели по виду деятельности лесозаготовки: Удельный вес убыточных организаций в общем числе организаций по виду экономической деятельности лесозаготовки,Процентов
Y477110266,Основные показатели по виду деятельности лесозаготовки: Число организаций,На конец года
Y477110361,Расходы консолидированных бюджетов субъектов Российской Федерации на реализацию мер социальной поддержки отдельных категорий граждан,Млн руб
Y477110268,Основные показатели по виду экономической деятельности рыбоводство: Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций,Млн руб
